Image Name,Conversion Factor (cm/pixel),Top Row (px),Bottom Row (px),Top Row (cm),Bottom Row (cm)
2mm btm a_speckled_pseudolabel.png,0.6503378378378378,72,106,46.82,68.94
2mm btm b_speckled_pseudolabel.png,0.6503114480053016,89,123,57.88,79.99
2mm btm c_speckled_pseudolabel.png,0.6388024203181961,73,116,46.63,74.10
2mm btm d_speckled_pseudolabel.png,0.6503114480053014,64,126,41.62,81.94
2mm top a_speckled_pseudolabel.png,0.6503378378378376,74,110,48.12,71.54
2mm top b_speckled_pseudolabel.png,0.6387273980132943,80,105,51.10,67.07
2mm top c_speckled_pseudolabel.png,0.6388274336283183,75,107,47.91,68.35
3mm btm a_speckled_pseudolabel.png,0.7218749999999997,71,127,51.25,91.68
3mm btm b_speckled_pseudolabel.png,0.7291294709277862,49,140,35.73,102.08
3mm btm c_speckled_pseudolabel.png,0.7290179178551093,60,149,43.74,108.62
3mm btm d_speckled_pseudolabel.png,0.7291666666666665,147,166,107.19,121.04
3mm top a_speckled_pseudolabel.png,0.6503114480053014,68,115,44.22,74.79
3mm top b_speckled_pseudolabel.png,0.6562499999999997,65,124,42.66,81.37
3mm top c_speckled_pseudolabel.png,0.6562499999999997,60,116,39.37,76.12
3mm top d_speckled_pseudolabel.png,0.6503378378378376,57,120,37.07,78.04
4mm btm a_speckled_pseudolabel.png,0.7076865787401768,53,180,37.51,127.38
4mm btm b_speckled_pseudolabel.png,0.7291666666666662,54,158,39.37,115.21
4mm btm c_speckled_pseudolabel.png,0.7291666666666665,54,175,39.37,127.60
4mm btm d_speckled_pseudolabel.png,0.7364537948503062,64,159,47.13,117.10
4mm top a_speckled_pseudolabel.png,0.7291666666666665,38,122,27.71,88.96
4mm top b_speckled_pseudolabel.png,0.7291666666666665,42,122,30.62,88.96
4mm top c_speckled_pseudolabel.png,0.7366071428571429,37,118,27.25,86.92
4mm top d_speckled_pseudolabel.png,0.7290179178551093,28,97,20.41,70.71
6mm btm a_speckled_pseudolabel.png,0.9497533143862357,64,149,60.78,141.51
6mm btm b_speckled_pseudolabel.png,0.9624999999999999,53,163,51.01,156.89
6mm btm c_speckled_pseudolabel.png,0.9755067567567564,58,160,56.58,156.08
6mm btm d_speckled_pseudolabel.png,0.9624999999999999,68,151,65.45,145.34
6mm top a_speckled_pseudolabel.png,0.962414455850162,16,101,15.40,97.20
6mm top b_speckled_pseudolabel.png,0.962414455850162,17,123,16.36,118.38
6mm top c_speckled_pseudolabel.png,0.9754176978478424,19,98,18.53,95.59
6mm top d_speckled_pseudolabel.png,0.9497533143862362,18,106,17.10,100.67
8mm btm a_speckled_pseudolabel.png,0.9621579601882042,47,173,45.22,166.45
8mm btm b_speckled_pseudolabel.png,0.9624999999999999,72,177,69.30,170.36
8mm btm c_speckled_pseudolabel.png,0.9755067567567564,69,181,67.31,176.57
8mm btm d_speckled_pseudolabel.png,0.9755067567567564,43,172,41.95,167.79
8mm top a_speckled_pseudolabel.png,0.9497533143862362,3,102,2.85,96.87
8mm top b_speckled_pseudolabel.png,0.949835526315789,5,111,4.75,105.43
8mm top c_speckled_pseudolabel.png,0.9624999999999999,4,97,3.85,93.36
8mm top d_speckled_pseudolabel.png,0.962414455850162,5,103,4.81,99.13
