depth_mm,lateral_mm,diameter_mm
116.04,-7.31,0.00
115.96,-6.96,0.52
115.87,-6.61,1.04
115.78,-6.26,1.57
115.70,-5.92,2.09
115.44,-5.57,2.96
115.27,-5.22,3.30
115.18,-4.87,3.83
115.09,-4.52,4.35
115.01,-4.18,4.87
114.92,-3.83,5.39
114.84,-3.48,5.91
114.75,-3.13,6.44
114.40,-2.79,6.44
114.06,-2.44,6.44
113.54,-2.09,6.78
113.19,-1.74,6.78
112.67,-1.39,6.44
112.32,-1.05,6.44
111.98,-0.70,6.44
111.63,-0.35,6.44
111.28,-0.00,6.44
110.94,0.35,6.44
110.59,0.69,6.44
110.07,1.04,6.78
109.55,1.39,6.44
109.20,1.74,6.44
108.85,2.08,6.44
108.51,2.43,6.44
108.16,2.78,6.44
107.81,3.13,6.44
107.47,3.48,6.44
106.95,3.82,6.09
106.60,4.17,6.09
106.08,4.52,6.44
105.73,4.87,6.44
105.39,5.22,6.44
105.04,5.56,6.44
104.69,5.91,6.44
104.35,6.26,6.44
103.83,6.61,6.09
103.48,6.96,6.09
103.13,7.30,6.09
102.79,7.65,6.09
102.26,8.00,6.44
101.92,8.35,6.44
101.57,8.70,6.44
101.22,9.05,6.44
100.70,9.39,6.09
100.36,9.74,6.09
100.01,10.09,6.09
99.66,10.44,6.09
99.32,10.79,6.09
98.97,11.13,6.09
98.45,11.48,6.44
97.93,11.83,6.09
97.58,12.18,6.09
97.23,12.53,6.09
96.89,12.88,6.09
96.54,13.22,6.09
96.19,13.57,6.09
95.85,13.92,6.09
95.50,14.27,6.09
94.81,14.62,6.09
94.46,14.96,6.09
94.11,15.31,6.09
93.77,15.66,6.09
93.42,16.01,6.09
93.07,16.36,6.09
92.73,16.71,6.09
92.38,17.05,6.09
91.86,17.40,5.74
91.51,17.75,5.74
90.99,18.10,6.09
90.64,18.45,6.09
90.30,18.80,6.09
89.95,19.14,6.09
89.60,19.49,6.09
89.08,19.84,5.74
88.82,20.19,5.57
88.82,20.54,4.87
88.65,20.89,4.52
88.65,21.24,3.83
88.48,21.58,3.48
88.31,21.93,3.13
88.31,22.28,2.44
87.96,22.63,1.74
87.96,22.98,1.04
87.79,23.33,0.70
87.62,23.67,0.35
