Epoch,Train Loss,Val Loss,Dice Score,Hausdorff Distance,
0,0.365649683,0.34774445,0.06149009,218.7801209,
1,0.2464116,0.255677745,0,1000,inf
2,0.244183572,0.240800634,0.079455651,70.1527856,
3,0.228764945,0.22831938,0.561982933,36.53956004,
4,0.221945763,0.324279025,0.455047312,105.6579954,
5,0.21778817,0.244833373,0.689132587,49.5388588,
6,0.214319881,0.215063103,0.653518809,19.43728934,
7,0.220707308,0.254027151,0.539440923,37.52776945,
8,0.215215896,0.215533543,0.668779165,30.68281427,
9,0.211170765,0.211213693,0.667876462,29.99361743,
10,0.20937903,0.209912848,0.715425281,22.92293028,
11,0.209612555,0.209509552,0.707046548,25.57137347,
12,0.207984109,0.211566489,0.736387118,21.55858916,
13,0.207320008,0.21012152,0.778432461,21.12938598,
14,0.206979049,0.211762596,0.743151797,22.42706013,
15,0.206251488,0.210505843,0.76373198,25.5874549,
16,0.205434831,0.211772949,0.766700516,28.44083531,
17,0.205621479,0.21146936,0.742827553,30.71388439,
18,0.204983152,0.209462676,0.759319158,24.06650734,
19,0.20521764,0.211282369,0.75951894,22.94173072,
20,0.204649457,0.208708715,0.784121478,21.22506803,
21,0.204567886,0.213609159,0.715174443,34.24541548,
22,0.20437498,0.214133602,0.749443794,30.33891165,
23,0.204409288,0.211461946,0.761129129,30.38427575,
24,0.204089259,0.210445534,0.762579825,24.76740897,
25,0.204270595,0.210424647,0.74905097,28.67220676,
26,0.203623074,0.211541496,0.763980552,25.87621445,
27,0.204089623,0.210075278,0.760395203,23.46730101,
28,0.203786826,0.210377421,0.748496011,26.57359567,
29,0.203982159,0.211135987,0.758948009,23.27645255,
30,0.203450104,0.210713521,0.738101799,25.50494884,
31,0.203316488,0.211067606,0.752481461,25.61928802,
32,0.203257831,0.211693682,0.757042951,25.18384724,
33,0.203028712,0.211690307,0.762573808,22.86152976,
34,0.20304865,0.210494246,0.748871762,26.26875972,
35,0.203174655,0.210899286,0.758943083,25.37068392,
36,0.203246693,0.210384525,0.746719364,23.40497082,
37,0.203097266,0.210976064,0.76306673,25.24539975,
38,0.203147202,0.210291345,0.760136068,22.43618768,
39,0.202766342,0.211157486,0.763561787,22.68386653,
40,0.204772359,0.210023008,0.754820894,22.84892292,
41,0.203235452,0.210926797,0.761060524,25.18971049,
42,0.203010712,0.21117115,0.761863142,26.55324027,
43,0.204148211,0.210941084,0.761938063,24.14583988,
44,0.203045105,0.211332265,0.76321537,24.86972383,
45,0.202904005,0.211495452,0.765082479,22.49694191,
46,0.203074261,0.210848674,0.765067828,25.17303927,
47,0.202935723,0.210504305,0.756078084,25.6744098,
48,0.202860869,0.21096734,0.757379243,25.20841818,
49,0.202942321,0.211701501,0.765204865,25.22804858,
